Number of keypoints: 545
Keypoint no 213: 13.7762
Keypoint no 214: 13.8082
Keypoint no 215: 13.8215
Keypoint no 216: 13.8324
Keypoint no 217: 13.8551
Keypoint no 218: 13.8563
Keypoint no 219: 13.8611
Keypoint no 220: 13.8631
Keypoint no 221: 13.8771
Keypoint no 222: 13.9374
Keypoint no 223: 14.0301
Keypoint no 224: 14.0453
Keypoint no 225: 14.0648
Keypoint no 226: 14.0721
Keypoint no 227: 14.1424
Keypoint no 228: 14.1472
Keypoint no 229: 14.1536
Keypoint no 230: 14.1538
Keypoint no 231: 14.1539
Keypoint no 232: 14.163
Keypoint no 233: 14.1887
Keypoint no 234: 14.2225
Keypoint no 235: 14.2297
Keypoint no 236: 14.2936
Keypoint no 237: 14.352
Keypoint no 238: 14.3855
Keypoint no 239: 14.3878
Keypoint no 240: 14.4098
Keypoint no 241: 14.4304
Keypoint no 242: 14.4696
Keypoint no 243: 14.4878
Keypoint no 244: 14.5007
Keypoint no 245: 14.521
Keypoint no 246: 14.5506
Keypoint no 247: 14.6222
Keypoint no 248: 14.6304
Keypoint no 249: 14.6311
Keypoint no 250: 14.6349
Keypoint no 251: 14.6461
Keypoint no 252: 14.661
Keypoint no 253: 14.6886
Keypoint no 254: 14.6955
Keypoint no 255: 14.7039
Keypoint no 256: 14.714
Keypoint no 257: 14.7244
Keypoint no 258: 14.7434
Keypoint no 259: 14.7852
Keypoint no 260: 14.8119
Keypoint no 261: 14.8141
Keypoint no 262: 14.8178
Keypoint no 263: 14.8786
Keypoint no 264: 14.8793
Keypoint no 265: 14.8797
Keypoint no 266: 14.9213
Keypoint no 267: 14.9254
Keypoint no 268: 14.9287
Keypoint no 269: 14.9604
Keypoint no 270: 14.9617
Keypoint no 271: 14.9892
Keypoint no 272: 15.1
Keypoint no 273: 15.1033
Keypoint no 274: 15.1222
Keypoint no 275: 15.1249
Keypoint no 276: 15.1385
Keypoint no 277: 15.198
Keypoint no 278: 15.21
Keypoint no 279: 15.2273
Keypoint no 280: 15.2286
Keypoint no 281: 15.2311
Keypoint no 282: 15.2342
Keypoint no 283: 15.2356
Keypoint no 284: 15.293
Keypoint no 285: 15.3073
Keypoint no 286: 15.34
Keypoint no 287: 15.3724
Keypoint no 288: 15.3933
Keypoint no 289: 15.3974
Keypoint no 290: 15.4253
Keypoint no 291: 15.4289
Keypoint no 292: 15.4564
Keypoint no 293: 15.4566
Keypoint no 294: 15.4618
Keypoint no 295: 15.4769
Keypoint no 296: 15.5179
Keypoint no 297: 15.563
Keypoint no 298: 15.5697
Keypoint no 299: 15.5861
Keypoint no 300: 15.5945
Keypoint no 301: 15.5972
Keypoint no 302: 15.6218
Keypoint no 303: 15.6299
Keypoint no 304: 15.6321
Keypoint no 305: 15.6404
Keypoint no 306: 15.6658
Keypoint no 307: 15.6691
Keypoint no 308: 15.729
Keypoint no 309: 15.7458
Keypoint no 310: 15.7646
Keypoint no 311: 15.8476
Keypoint no 312: 15.8864
Keypoint no 313: 15.9286
Keypoint no 314: 15.9404
Keypoint no 315: 15.943
Keypoint no 316: 15.946
Keypoint no 317: 15.9659
Keypoint no 318: 15.9944
Keypoint no 319: 16.0144
Keypoint no 320: 16.0194
Keypoint no 321: 16.0475
Keypoint no 322: 16.0572
Keypoint no 323: 16.0698
Keypoint no 324: 16.1125
Keypoint no 325: 16.1166
Keypoint no 326: 16.1182
Keypoint no 327: 16.1349
Keypoint no 328: 16.1447
Keypoint no 329: 16.179
Keypoint no 330: 16.2292
Keypoint no 331: 16.2326
Keypoint no 332: 16.2355
Keypoint no 333: 16.2693
Keypoint no 334: 16.2983
Keypoint no 335: 16.3387
Keypoint no 336: 16.3406
Keypoint no 337: 16.3694
Keypoint no 338: 16.4077
Keypoint no 339: 16.4106
Keypoint no 340: 16.4409
Keypoint no 341: 16.5171
Keypoint no 342: 16.5278
Keypoint no 343: 16.5562
Keypoint no 344: 16.5633
Keypoint no 345: 16.5723
Keypoint no 346: 16.5738
Keypoint no 347: 16.5754
Keypoint no 348: 16.616
Keypoint no 349: 16.6214
Keypoint no 350: 16.6221
Keypoint no 351: 16.6488
Keypoint no 352: 16.6661
Keypoint no 353: 16.686
Keypoint no 354: 16.6958
Keypoint no 355: 16.71
Keypoint no 356: 16.7226
Keypoint no 357: 16.725
Keypoint no 358: 16.7518
Keypoint no 359: 16.7777
Keypoint no 360: 16.78
Keypoint no 361: 16.7863
Keypoint no 362: 16.8524
Keypoint no 363: 17.0445
Keypoint no 364: 17.1199
Keypoint no 365: 17.1267
Keypoint no 366: 17.1731
Keypoint no 367: 17.2003
Keypoint no 368: 17.2411
Keypoint no 369: 17.2477
Keypoint no 370: 17.3462
Keypoint no 371: 17.4036
Keypoint no 372: 17.4097
Keypoint no 373: 17.429
Keypoint no 374: 17.4549
Keypoint no 375: 17.4604
Keypoint no 376: 17.4995
Keypoint no 377: 17.5122
Keypoint no 378: 17.576
Keypoint no 379: 17.5865
Keypoint no 380: 17.5893
Keypoint no 381: 17.6075
Keypoint no 382: 17.6148
Keypoint no 383: 17.641
Keypoint no 384: 17.6925
Keypoint no 385: 17.7416
Keypoint no 386: 17.7515
Keypoint no 387: 17.7578
Keypoint no 388: 17.8212
Keypoint no 389: 17.8331
Keypoint no 390: 17.8613
Keypoint no 391: 17.9291
Keypoint no 392: 17.9586
Keypoint no 393: 17.9588
Keypoint no 394: 17.9705
Keypoint no 395: 17.9826
Keypoint no 396: 17.9842
Keypoint no 397: 17.996
Keypoint no 398: 18.0042
Keypoint no 399: 18.0159
Keypoint no 400: 18.0207
Keypoint no 401: 18.0221
Keypoint no 402: 18.1004
Keypoint no 403: 18.1005
Keypoint no 404: 18.1279
Keypoint no 405: 18.2721
Keypoint no 406: 18.3016
Keypoint no 407: 18.3074
Keypoint no 408: 18.3354
Keypoint no 409: 18.339
Keypoint no 410: 18.3537
Keypoint no 411: 18.539
Keypoint no 412: 18.5393
Keypoint no 413: 18.5496
Keypoint no 414: 18.5589
Keypoint no 415: 18.6063
Keypoint no 416: 18.6185
Keypoint no 417: 18.7038
Keypoint no 418: 18.71
Keypoint no 419: 18.7353
Keypoint no 420: 18.7617
Keypoint no 421: 18.8129
Keypoint no 422: 18.8184
Keypoint no 423: 18.8253
Keypoint no 424: 18.8954
Keypoint no 425: 18.907
Keypoint no 426: 18.9224
Keypoint no 427: 18.9244
Keypoint no 428: 18.9476
Keypoint no 429: 18.989
Keypoint no 430: 19.0276
Keypoint no 431: 19.2087
Keypoint no 432: 19.2543
Keypoint no 433: 19.2656
Keypoint no 434: 19.297
Keypoint no 435: 19.3781
Keypoint no 436: 19.3919
Keypoint no 437: 19.4264
Keypoint no 438: 19.4405
Keypoint no 439: 19.4587
Keypoint no 440: 19.5068
Keypoint no 441: 19.509
Keypoint no 442: 19.5175
Keypoint no 443: 19.5539
Keypoint no 444: 19.563
Keypoint no 445: 19.6096
Keypoint no 446: 19.6421
Keypoint no 447: 19.7069
Keypoint no 448: 19.708
Keypoint no 449: 19.7708
Keypoint no 450: 19.8616
Keypoint no 451: 19.8695
Keypoint no 452: 19.8713
Keypoint no 453: 19.8754
Keypoint no 454: 19.8758
Keypoint no 455: 19.8832
Keypoint no 456: 19.9428
Keypoint no 457: 19.9594
Keypoint no 458: 19.9922
Keypoint no 459: 20.0323
Keypoint no 460: 20.0407
Keypoint no 461: 20.1558
Keypoint no 462: 20.1586
Keypoint no 463: 20.178
Keypoint no 464: 20.2442
Keypoint no 465: 20.3353
Keypoint no 466: 20.4251
Keypoint no 467: 20.5819
Keypoint no 468: 20.5997
Keypoint no 469: 20.7478
Keypoint no 470: 20.8194
Keypoint no 471: 20.8456
Keypoint no 472: 20.914
Keypoint no 473: 20.9215
Keypoint no 474: 20.9304
Keypoint no 475: 20.9935
Keypoint no 476: 21.007
Keypoint no 477: 21.03
Keypoint no 478: 21.178
Keypoint no 479: 21.2349
Keypoint no 480: 21.4381
Keypoint no 481: 21.4473
Keypoint no 482: 21.5795
Keypoint no 483: 21.5804
Keypoint no 484: 21.5934
Keypoint no 485: 21.7901
Keypoint no 486: 21.8184
Keypoint no 487: 21.8282
Keypoint no 488: 21.8847
Keypoint no 489: 21.9241
Keypoint no 490: 22.0221
Keypoint no 491: 22.0895
Keypoint no 492: 22.0932
Keypoint no 493: 22.1052
Keypoint no 494: 22.1516
Keypoint no 495: 22.2408
Keypoint no 496: 22.389
Keypoint no 497: 22.4424
Keypoint no 498: 22.4871
Keypoint no 499: 22.7987
Keypoint no 500: 23.2763
Keypoint no 501: 23.3328
Keypoint no 502: 23.4142
Keypoint no 503: 23.4785
Keypoint no 504: 23.5283
Keypoint no 505: 23.6584
Keypoint no 506: 23.7304
Keypoint no 507: 23.7564
Keypoint no 508: 23.7745
Keypoint no 509: 23.8005
Keypoint no 510: 24.1751
Keypoint no 511: 24.1822
Keypoint no 512: 24.202
Keypoint no 513: 24.2201
Keypoint no 514: 24.2438
Keypoint no 515: 24.3226
Keypoint no 516: 24.3298
Keypoint no 517: 24.5185
Keypoint no 518: 24.5279
Keypoint no 519: 24.5705
Keypoint no 520: 24.8158
Keypoint no 521: 24.8461
Keypoint no 522: 24.9146
Keypoint no 523: 25.1964
Keypoint no 524: 25.3479
Keypoint no 525: 25.349
Keypoint no 526: 25.8099
Keypoint no 527: 26.048
Keypoint no 528: 26.0957
Keypoint no 529: 26.6096
Keypoint no 530: 26.7598
Keypoint no 531: 26.8806
Keypoint no 532: 26.953
Keypoint no 533: 27.2207
Keypoint no 534: 27.2711
Keypoint no 535: 27.4535
Keypoint no 536: 27.6276
Keypoint no 537: 28.1742
Keypoint no 538: 28.7167
Keypoint no 539: 29.9739
Keypoint no 540: 30.6259
Keypoint no 541: 31.0452
Keypoint no 542: 31.7351
Keypoint no 543: 35.7906
Keypoint no 544: 36.2741

Keypoint (1569.738281, 1591.728027) matched with keypoint (1032.742676, 1630.619141)
	||F1|| = 15.3724
	||F2|| = 14.6311

	|||F1|| - ||F2||| = 0.741317
	||F1 - F2|| = 0.843399

Keypoint (1560.293213, 1578.274292) matched with keypoint (1023.263062, 1617.260864)
	||F1|| = 17.429
	||F2|| = 16.3387

	|||F1|| - ||F2||| = 1.09032
	||F1 - F2|| = 1.10064

Keypoint (1568.787842, 1571.117676) matched with keypoint (1032.042603, 1609.551392)
	||F1|| = 17.8212
	||F2|| = 16.4106

	|||F1|| - ||F2||| = 1.41064
	||F1 - F2|| = 2.56935

Keypoint (1580.134521, 1581.923950) matched with keypoint (1043.131958, 1620.931641)
	||F1|| = 22.4871
	||F2|| = 21.178

	|||F1|| - ||F2||| = 1.30915
	||F1 - F2|| = 1.31678

Keypoint (1580.134521, 1581.923950) matched with keypoint (1043.002686, 1621.295898)
	||F1|| = 22.4871
	||F2|| = 19.3781

	|||F1|| - ||F2||| = 3.10903
	||F1 - F2|| = 3.62686

