@RELATION lines

@ATTRIBUTE rho REAL
@ATTRIBUTE theta REAL
@ATTRIBUTE length REAL

@DATA
1700.958931,1.498499,538.402079
1687.106391,1.498327,538.443438
1679.151693,1.499313,538.119506
1692.245693,1.498284,538.417452
1693.205701,1.497627,538.572892
