@RELATION lines

@ATTRIBUTE rho REAL
@ATTRIBUTE theta REAL
@ATTRIBUTE length REAL

@DATA
2706.659176,-0.013375,10.934541
2121.133480,1.471093,91.999132
1573.826862,-0.013331,10.823960
912.376090,1.486946,92.786443
2368.295047,1.775745,13.674367
2368.295047,1.775745,13.674367
1989.765717,1.521018,181.270681
1989.765717,1.521018,181.270681
1843.326098,1.573146,89.060060
1896.794560,1.575930,88.865917
3495.353404,1.560630,15.657059
1843.326098,1.573146,89.060060
2957.504182,1.631045,15.894195
1896.794560,1.575930,88.865917
3495.353404,1.560630,15.657059
1218.497891,1.648528,13.289641
939.593343,0.053963,16.390069
69.831905,2.656472,18.438491
1218.497891,1.648528,13.289641
3962.556738,0.475438,31.736356
2310.154834,1.817746,15.684317
2310.154834,1.817746,15.684317
3962.556738,0.475438,31.736356
3372.700242,0.711865,14.191622
1854.292955,1.567773,89.261883
2232.737642,-0.211272,17.280472
1854.292955,1.567773,89.261883
69.831905,2.656472,18.438491
633.314184,0.370091,10.549431
2232.737642,-0.211272,17.280472
