@RELATION lines

@ATTRIBUTE rho REAL
@ATTRIBUTE theta REAL
@ATTRIBUTE length REAL

@DATA
216.913166,1.561447,120.059614
36.122481,-0.814217,65.342409
90.939191,-0.840705,65.009249
206.601107,1.562092,119.987516
206.601107,1.562092,119.987516
210.918604,1.558880,120.267099
210.918604,1.558880,120.267099
90.939191,-0.840705,65.009249
221.849150,1.563436,119.903547
216.913166,1.561447,120.059614
