@relation lines_clustered

@attribute rho numeric
@attribute theta numeric
@attribute length numeric
@attribute Cluster {cluster0, cluster1}

@data
14224.574575,-0.321384,866.316002,cluster0
14514.896751,0.302086,60.953521,cluster1
14405.975045,-0.328948,650.268061,cluster0
14598.600496,0.064486,321.640446,cluster1
15476.729309,-0.068544,563.717846,cluster0
15262.358973,-0.308785,852.262528,cluster0
15405.856755,-0.261181,837.148293,cluster0
15405.713251,-0.261274,836.865733,cluster0
15419.611007,-0.25644,836.842336,cluster0
15419.611007,-0.25644,836.842336,cluster0
15394.957156,-0.29689,938.509851,cluster0
15648.176067,1.000394,85.587129,cluster1
15613.423599,0.301174,15.492853,cluster1
15900.31338,1.876861,336.709159,cluster1
16329.853453,-0.286423,847.364505,cluster0
16422.479655,-0.254965,859.0021,cluster0
16329.853453,-0.286423,847.364505,cluster0
16101.975307,2.499478,348.905255,cluster1
16613.983043,0.309243,10.849812,cluster1
16613.423599,0.301174,15.492853,cluster1
161138.589078,1.548837,10.891053,cluster1
16477.854039,2.230746,209.646547,cluster1
16861.27681,0.023915,109.727787,cluster1
16324.324736,2.357129,504.603837,cluster1
17422.479647,-0.254965,859.0021,cluster0
17549.541544,1.803323,12.705965,cluster1
17549.541544,1.803323,12.705965,cluster1
17613.983043,0.309243,10.849812,cluster1
17661.100368,0.051795,313.380831,cluster1
17434.292945,-0.250581,839.301529,cluster0
17347.084985,-0.280401,859.110239,cluster0
171441.676686,0.912248,11.291269,cluster1
17254.314882,2.374062,98.389735,cluster1
17434.292945,-0.250581,839.301529,cluster0
18899.506425,0.80705,19.760938,cluster1
18347.084985,-0.280401,859.110239,cluster0
181443.362274,0.926699,11.165041,cluster1
18925.055673,1.817894,10.270069,cluster1
181160.607666,0.457246,13.448565,cluster1
18523.013408,0.271625,10.263127,cluster1
18523.013408,0.271625,10.263127,cluster1
18430.946794,-0.252606,846.560671,cluster0
18223.839017,-0.322451,872.642576,cluster0
181195.907403,1.643468,92.816024,cluster1
19267.915766,1.994329,17.08713,cluster1
19148.122663,2.484159,345.759096,cluster1
19366.223257,-0.273679,863.204009,cluster0
19190.516656,1.535973,30.711491,cluster1
19224.165446,-0.321927,872.58839,cluster0
19223.839017,-0.322451,872.642576,cluster0
19526.609186,-0.052492,715.131754,cluster0
19439.453223,-0.248018,842.980321,cluster0
19489.071833,-0.021032,880.165967,cluster0
19295.418059,-0.299538,865.570886,cluster0
20354.223004,1.520994,76.206365,cluster1
20489.071834,-0.021032,880.165967,cluster0
20277.831278,-0.303752,866.162834,cluster0
20335.177234,-0.282538,814.623799,cluster0
20445.539298,-0.247624,863.827062,cluster0
20489.168605,-0.02076,879.807752,cluster0
20366.220597,-0.274552,862.868962,cluster0
201176.581576,1.422197,14.872399,cluster1
20430.946794,-0.252606,846.560671,cluster0
20382.835541,-0.268382,855.01212,cluster0
21224.165446,-0.321927,872.58839,cluster0
21250.124444,-0.315267,838.481765,cluster0
21249.510074,-0.31613,837.820637,cluster0
21165.895037,-0.43155,538.827581,cluster0
21264.218198,-0.3084,864.950086,cluster0
211197.302558,1.641305,93.789987,cluster1
21335.177234,-0.282538,814.623799,cluster0
21268.35679,-0.307401,846.242321,cluster0
21269.195713,-0.306855,845.888199,cluster0
21220.702847,2.159895,210.362236,cluster1
22403.251895,-0.261927,863.569468,cluster0
22514.896751,0.302086,60.953521,cluster1
22314.85743,-0.291964,813.546498,cluster0
22382.827056,-0.268508,847.497309,cluster0
22377.411134,-0.272064,845.819615,cluster0
22277.831278,-0.303752,866.162834,cluster0
22383.503203,-0.268606,855.257461,cluster0
221335.961726,1.519733,115.36375,cluster1
22460.860052,-0.242497,844.655267,cluster0
22825.013431,1.213488,11.848293,cluster1
23720.329362,1.598067,41.209414,cluster1
23491.972535,-0.13895,587.903639,cluster0
23796.399515,2.11419,17.937142,cluster1
231148.571474,1.531098,12.315367,cluster1
23825.013431,1.213488,11.848293,cluster1
231138.553429,1.746898,261.74273,cluster1
23405.341321,0.060176,119.690823,cluster1
23366.223257,-0.273679,863.204009,cluster0
23365.21261,-0.274352,861.759709,cluster0
23438.625372,-0.249242,843.526732,cluster0
24190.516656,1.535973,30.711491,cluster1
24302.801723,-0.295365,852.549707,cluster0
24302.190003,-0.296278,852.635845,cluster0
24302.801723,-0.295365,852.549707,cluster0
24403.251887,-0.261927,863.569468,cluster0
24403.465387,-0.261784,862.486065,cluster0
24460.964209,-0.242429,844.340134,cluster0
24477.227169,-0.235812,827.632689,cluster0
241298.028842,1.205849,17.355253,cluster1
24720.698506,1.597368,40.884885,cluster1
25477.488656,-0.235446,829.378702,cluster0
25314.416142,-0.292534,812.997944,cluster0
25314.85743,-0.291964,813.546498,cluster0
