@RELATION lines

@ATTRIBUTE rho REAL
@ATTRIBUTE theta REAL
@ATTRIBUTE length REAL

@DATA
643.692819,1.434754,323.968631
659.044315,1.434436,324.009813
663.153688,1.434568,324.006514
657.173573,1.434400,323.938695
755.649221,0.088124,10.936542
